,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
7801,39110,Hollywood,hybrid,vigilante,Washington Justice,Brigitte,Summer Showdown: Qualifiers
7836,39110,Circuit royal,payload,Coluge,San Francisco Shock,Junker Queen,Summer Showdown: Qualifiers
7869,39110,Circuit royal,payload,FiNN,San Francisco Shock,Brigitte,Summer Showdown: Qualifiers
7897,39110,Circuit royal,payload,Kilo,San Francisco Shock,Sojourn,Summer Showdown: Qualifiers
7930,39110,Circuit royal,payload,Proper,San Francisco Shock,Genji,Summer Showdown: Qualifiers
7959,39110,Circuit royal,payload,Viol2t,San Francisco Shock,Lucio,Summer Showdown: Qualifiers
7996,39110,Circuit royal,payload,Decay,Washington Justice,Genji,Summer Showdown: Qualifiers
8033,39110,Circuit royal,payload,Happy,Washington Justice,Sojourn,Summer Showdown: Qualifiers
8072,39110,Circuit royal,payload,MAG,Washington Justice,Junker Queen,Summer Showdown: Qualifiers
8113,39110,Circuit royal,payload,OPENER,Washington Justice,Lucio,Summer Showdown: Qualifiers
8154,39110,Circuit royal,payload,vigilante,Washington Justice,Brigitte,Summer Showdown: Qualifiers
8183,39110,Colosseo,push,Coluge,San Francisco Shock,Junker Queen,Summer Showdown: Qualifiers
8220,39110,Colosseo,push,FiNN,San Francisco Shock,Brigitte,Summer Showdown: Qualifiers
8250,39110,Colosseo,push,Kilo,San Francisco Shock,Sojourn,Summer Showdown: Qualifiers
8282,39110,Colosseo,push,Proper,San Francisco Shock,Genji,Summer Showdown: Qualifiers
