,map_name,player_name,team_name,hero_name
161329,Dorado,Hawk,Atlanta Reign,Winston
161373,Dorado,Kai,Atlanta Reign,Sojourn
161392,Dorado,Kai,Atlanta Reign,Tracer
161429,Dorado,Ojee,Atlanta Reign,Zenyatta
161459,Dorado,UltraViolet,Atlanta Reign,Ana
161492,Dorado,UltraViolet,Atlanta Reign,Lucio
161524,Dorado,Venom,Atlanta Reign,Genji
161552,Dorado,Venom,Atlanta Reign,Tracer
161574,Dorado,Daan,Vegas Eternal,Wrecking Ball
161608,Dorado,Dove,Vegas Eternal,Ashe
161629,Dorado,Dove,Vegas Eternal,Genji
